donor	receiver	compound	rate	mass_rate	community	medium
environment	ec_nh4_ko	M_glc__D_e	1.5580570162372855	0.2806923849830346	all	M9
ec_nh4_ko	environment	M_co2_e	3.91422590589719	0.1722631250055824	all	M9
environment	ec_nh4_ko	M_o2_e	4.667210523414927	0.1493451360966496	all	M9
ec_nh4_ko	environment	M_h2o_e	5.821232097423708	0.1048706604815076	all	M9
ec_nh4_ko	ec_glc_ko	M_akg_e	0.5369492113117504	0.07736476995914074	all	M9
ec_glc_ko	ec_nh4_ko	M_glu__L_e	0.5277219741190141	0.07711126258024445	all	M9
ec_glc_ko	environment	M_co2_e	1.1785661915265213	0.05186810880598645	all	M9
ec_glc_ko	ec_nh4_ko	M_etoh_e	0.7781387496322419	0.03584745154580805	all	M9
ec_nh4_ko	ec_glc_ko	M_ac_e	0.5984744299357923	0.03533626439368592	all	M9
ec_nh4_ko	ec_glc_ko	M_pyr_e	0.40542874870882395	0.03529419429009797	all	M9
ec_nh4_ko	ec_glc_ko	M_acald_e	0.7781387496322419	0.034278879454299374	all	M9
environment	ec_nh4_ko	M_pi_e	0.3560245793338497	0.03417098990725736	all	M9
ec_glc_ko	ec_nh4_ko	M_lac__D_e	0.38125877110688433	0.03395864249073597	all	M9
environment	ec_glc_ko	M_o2_e	0.30997157400878306	0.009918718402392248	all	M9
environment	ec_glc_ko	M_nh4_e	0.54528	0.009835924223999998	all	M9
ec_nh4_ko	environment	M_h_e	2.0060000000000104	0.0020218474000000108	all	M9
environment	ec_glc_ko	M_pi_e	0.011845420666150075	0.001136915183742618	all	M9
ec_nh4_ko	ec_glc_ko	M_h_e	0.5765056455725999	0.0005810600401726234	all	M9
